file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,5
style.css,48,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,44
style.css,49,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,43
style.css,50,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,1
style.css,51,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,24
style.css,52,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,0
style.css,53,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,33
style.css,54,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,16
style.css,55,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,0
style.css,56,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,19
style.css,57,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,19
style.css,58,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,0
style.css,59,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,42
style.css,60,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,12
style.css,61,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,0
style.css,62,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,0
style.css,63,css,c8ccbaab,Rosey G,2025-01-24,00:28:16,-08:00,2025-01-24T00:28:16-08:00,0,4
style.css,64,css,114b6c56,Rosey G,2025-01-24,00:55:52,-08:00,2025-01-24T00:55:52-08:00,0,18
style.css,65,css,cd5884ac,Rosey G,2025-01-17,20:48:43,-08:00,2025-01-17T20:48:43-08:00,0,52
style.css,66,css,89c94574,Rosey G,2025-01-17,21:00:00,-08:00,2025-01-17T21:00:00-08:00,0,59
style.css,67,css,89c94574,Rosey G,2025-01-17,21:00:00,-08:00,2025-01-17T21:00:00-08:00,0,48
style.css,68,css,24ba0e9b,Rosey G,2025-01-24,00:21:12,-08:00,2025-01-24T00:21:12-08:00,0,73
style.css,69,css,0d7aaf0f,Rosey G,2025-01-23,21:27:20,-08:00,2025-01-23T21:27:20-08:00,0,40
style.css,70,css,0d7aaf0f,Rosey G,2025-01-23,21:27:20,-08:00,2025-01-23T21:27:20-08:00,0,40
style.css,71,css,90fb3e9b,Rosey G,2025-01-23,23:39:01,-08:00,2025-01-23T23:39:01-08:00,0,10
style.css,72,css,cd5884ac,Rosey G,2025-01-17,20:48:43,-08:00,2025-01-17T20:48:43-08:00,0,0
style.css,73,css,cd5884ac,Rosey G,2025-01-17,20:48:43,-08:00,2025-01-17T20:48:43-08:00,0,0
style.css,74,css,cdb89322,Rosey G,2025-01-17,21:04:51,-08:00,2025-01-17T21:04:51-08:00,0,6
style.css,75,css,cd5884ac,Rosey G,2025-01-17,20:48:43,-08:00,2025-01-17T20:48:43-08:00,0,57
style.css,76,css,b3dcc8a0,Rosey G,2025-01-17,20:53:52,-08:00,2025-01-17T20:53:52-08:00,0,54
style.css,77,css,b3dcc8a0,Rosey G,2025-01-17,20:53:52,-08:00,2025-01-17T20:53:52-08:00,0,78
style.css,78,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,57
style.css,79,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,51
style.css,80,css,235710ef,Rosey G,2025-01-17,21:25:39,-08:00,2025-01-17T21:25:39-08:00,0,51
style.css,81,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,0
style.css,82,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,0
style.css,83,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,36
style.css,84,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,14
style.css,85,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,72
style.css,86,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,69
style.css,87,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,0
style.css,88,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,0
style.css,89,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,39
style.css,90,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,12
style.css,91,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,74
style.css,92,css,0d7aaf0f,Rosey G,2025-01-23,21:27:20,-08:00,2025-01-23T21:27:20-08:00,0,111
style.css,93,css,eeb5972a,Rosey G,2025-01-17,21:17:42,-08:00,2025-01-17T21:17:42-08:00,0,67
style.css,94,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,95,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,96,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,5
style.css,97,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,51
style.css,98,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,68
style.css,99,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,51
style.css,100,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,58
style.css,101,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,49
style.css,102,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,103,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,104,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,6
style.css,105,css,580dc879,Rosey G,2025-01-17,22:48:54,-08:00,2025-01-17T22:48:54-08:00,0,99
style.css,106,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,0
style.css,107,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,0
style.css,108,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,11
style.css,109,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,61
style.css,110,css,580dc879,Rosey G,2025-01-17,22:48:54,-08:00,2025-01-17T22:48:54-08:00,0,59
style.css,111,css,580dc879,Rosey G,2025-01-17,22:48:54,-08:00,2025-01-17T22:48:54-08:00,0,63
style.css,112,css,580dc879,Rosey G,2025-01-17,22:48:54,-08:00,2025-01-17T22:48:54-08:00,0,60
style.css,113,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,114,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,115,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,16
style.css,116,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,63
style.css,117,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,55
style.css,118,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,46
style.css,119,css,b9726fe7,Rosey G,2025-01-17,22:13:30,-08:00,2025-01-17T22:13:30-08:00,0,61
style.css,120,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,52
style.css,121,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,68
style.css,122,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,123,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,124,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,7
style.css,125,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,65
style.css,126,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,57
style.css,127,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,57
style.css,128,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,40
style.css,129,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,78
style.css,130,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,41
style.css,131,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,52
style.css,132,css,0cddc77a,Rosey G,2025-01-17,22:19:17,-08:00,2025-01-17T22:19:17-08:00,0,45
style.css,133,css,b9726fe7,Rosey G,2025-01-17,22:13:30,-08:00,2025-01-17T22:13:30-08:00,0,64
style.css,134,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,135,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,0
style.css,136,css,d04c5e51,Rosey G,2025-01-17,22:04:56,-08:00,2025-01-17T22:04:56-08:00,0,13
style.css,137,css,48ffe168,Rosey G,2025-01-17,22:41:30,-08:00,2025-01-17T22:41:30-08:00,0,73
style.css,138,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,0
style.css,139,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,0
style.css,140,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,10
style.css,141,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,51
style.css,142,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,88
style.css,143,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,47
style.css,144,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,58
style.css,145,css,414738b4,Rosey G,2025-01-17,23:14:34,-08:00,2025-01-17T23:14:34-08:00,0,0
style.css,146,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,147,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,18
style.css,148,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,56
style.css,149,css,5fe3d710,Rosey G,2025-01-17,23:28:01,-08:00,2025-01-17T23:28:01-08:00,0,87
style.css,150,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,63
style.css,151,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,46
style.css,152,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,58
style.css,153,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,51
style.css,154,css,a8f0fefc,Rosey G,2025-01-23,21:34:49,-08:00,2025-01-23T21:34:49-08:00,0,64
style.css,155,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,156,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,157,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,13
style.css,158,css,5fe3d710,Rosey G,2025-01-17,23:28:01,-08:00,2025-01-17T23:28:01-08:00,0,52
style.css,159,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,64
style.css,160,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,42
style.css,161,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,46
style.css,162,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,163,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,164,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,14
style.css,165,css,5fe3d710,Rosey G,2025-01-17,23:28:01,-08:00,2025-01-17T23:28:01-08:00,0,51
style.css,166,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,40
style.css,167,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,59
style.css,168,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,40
style.css,169,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,59
style.css,170,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,171,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,0
style.css,172,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,12
style.css,173,css,5fe3d710,Rosey G,2025-01-17,23:28:01,-08:00,2025-01-17T23:28:01-08:00,0,54
style.css,174,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,49
style.css,175,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,42
style.css,176,css,5c8c2c4a,Rosey G,2025-01-17,23:21:21,-08:00,2025-01-17T23:21:21-08:00,0,70
style.css,177,css,f8d0ea5f,Rosey G,2025-01-17,23:38:11,-08:00,2025-01-17T23:38:11-08:00,0,0
style.css,178,css,f8d0ea5f,Rosey G,2025-01-17,23:38:11,-08:00,2025-01-17T23:38:11-08:00,0,0
style.css,179,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,10
style.css,180,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,54
style.css,181,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,0
style.css,182,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,0
style.css,183,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,14
style.css,184,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,53
style.css,185,css,60249a7a,Rosey G,2025-02-07,17:17:20,-08:00,2025-02-07T17:17:20-08:00,0,48
style.css,186,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,43
style.css,187,css,aceb6dc8,Rosey G,2025-02-07,23:32:11,-08:00,2025-02-07T23:32:11-08:00,0,37
style.css,188,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,189,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,190,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,19
style.css,191,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,15
style.css,192,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,17
style.css,193,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,194,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,17
style.css,195,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,196,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,197,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,19
style.css,198,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,11
style.css,199,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,13
style.css,200,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,54
style.css,201,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,47
style.css,202,css,7a4f8eb0,Rosey G,2025-02-08,18:10:46,-08:00,2025-02-08T18:10:46-08:00,0,15
style.css,203,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,204,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,205,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,16
style.css,206,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,33
style.css,207,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,11
style.css,208,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,19
style.css,209,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,66
